"Accepted Symbol" "Synonym Symbol" "Scientific Name" "Common Name" "State and Province" "Duration" "Growth Habit" "Native Status" "Active Growth Period" "Flower Color" "Flower Conspicuous" "Height  Mature (feet)" "Lifespan" "Drought Tolerance" "Shade Tolerance" "Bloom Period" 
"ACCO2" "" "Acacia constricta" "whitethorn acacia" "USA (AZ  MD  NM  TX  VA)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "9.0" "Moderate" "High" "Intolerant" "Late Spring" 
"ACGR" "" "Acacia greggii" "catclaw acacia" "USA (AZ  CA  NM  NV  TX  UT)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "20" "Long" "High" "Intolerant" "Mid Spring" 
"ACVI" "" "Acalypha virginica" "Virginia threeseed mercury" "USA (AL  AR  CT  DC  DE  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MO  MS  NC  NE  NH  NJ  NY  OH  OK  PA  RI  SC  SD  TN  TX  VA  VT  WV)" "Annual" "Forb/herb" "L48 (N)" "Spring  Summer  Fall" "Red" "Yes" "3.0" "" "Medium" "Intermediate" "Early Summer" 
"ACCI" "" "Acer circinatum" "vine maple" "USA (AK  CA  OR  WA)  CAN (BC)" "Perennial" "Tree  Shrub  Vine" "L48 (N)  AK (N?)  CAN (N)" "Spring and Summer" "Green" "Yes" "20" "Long" "Low" "Tolerant" "Spring" 
"ACGR3" "" "Acer grandidentatum" "bigtooth maple" "USA (AZ  CO  ID  MT  NM  NV  TX  UT  WA  WY)" "Perennial" "Tree  Shrub" "L48 (N)" "Spring and Summer" "Yellow" "Yes" "38" "Short" "Low" "Intermediate" "Spring" 
"ACRU" "" "Acer rubrum" "red maple" "USA (AL  AR  CT  DC  DE  FL  GA  IA  IL  IN  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  NH  NJ  NY  OH  OK  OR  PA  RI  SC  TN  TX  VA  VT  WI  WV)  CAN (NB  NF  NS  ON  PE  QC)" "Perennial" "Tree" "L48 (N)  CAN (N)" "Spring and Summer" "Red" "Yes" "68" "Short" "Medium" "Intermediate" "Early Spring" 
"ACSA2" "" "Acer saccharinum" "silver maple" "USA (AL  AR  CA  CT  DC  DE  FL  GA  IA  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  NC  ND  NE  NH  NJ  NM  NY  OH  OK  PA  RI  SC  SD  TN  TX  VA  VT  WA  WI  WV)  CAN (NB  ON  QC  SK)" "Perennial" "Tree" "L48 (N)  CAN (N)" "Spring and Summer" "Yellow" "Yes" "90" "Moderate" "Low" "Intermediate" "Early Spring" 
"ACMI2" "" "Achillea millefolium" "common yarrow" "USA (AK  AL  AR  AZ  CA  CO  CT  DC  DE  FL  GA  HI  IA  ID  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  MT  NC  ND  NE  NH  NJ  NM  NV  NY  OH  OK  OR  PA  RI  SC  SD  TN  TX  UT  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  NU  ON  PE  QC  SK  YT)  DEN (GL)  FRA (SPM)" "Perennial" "Forb/herb" "L48 (NI)  AK (N)  HI (I)  CAN (NI)  GL (N)  SPM (NI)" "Spring" "White" "Yes" "3.0" "Moderate" "Medium" "Intermediate" "Early Summer" 
"ACMIO" "" "Achillea millefolium var. occidentalis" "western yarrow" "USA (AK  AL  AR  AZ  CA  CO  CT  DC  DE  FL  GA  IA  ID  IL  IN  KS  KY  LA  MA  MD  ME  MI  MN  MO  MS  MT  NC  ND  NE  NH  NJ  NM  NV  NY  OH  OK  OR  PA  RI  SC  SD  TN  TX  UT  VA  VT  WA  WI  WV  WY)  CAN (AB  BC  LB  MB  NB  NF  NS  NT  NU  ON  PE  QC  SK  YT)  DEN (GL)  FRA (SPM)" "Perennial" "Forb/herb" "L48 (N)  AK (N)  CAN (N)  GL (N)  SPM (N)" "Spring" "White" "Yes" "3.0" "Moderate" "Medium" "Intermediate" "Late Spring" 
"ACOPR" "" "Acmella oppositifolia var. repens" "oppositeleaf spotflower" "USA (AL  AR  FL  GA  LA  MO  MS  NC  OK  SC  TN  TX)" "Perennial" "Forb/herb" "L48 (N)" "Summer" "Green" "Yes" "0.7" "Long" "Low" "Intolerant" "Late Summer" 
